Topic,Slug,Content type,Discipline,Category,Funnel stage,Notes,Needs experience?,Expert / Author,Section for insight,Optional questions for expert,Insight type,Source of insight,First-hand experience / Quote
What is Answer Engine Optimization (AEO)?,what-is-aeo,Glossary,AI Search,ai_seo_disciplines,TOFU,NEW,N,ranjeeth,,,,,
What is Generative Engine Optimization (GEO)?,what-is-geo,Glossary,AI Search,ai_seo_disciplines,TOFU,NEW,N,omar,,,,,
What is LLM Optimization (LLMO)?,what-is-llmo,Glossary,AI Search,ai_seo_disciplines,TOFU,NEW,N,rohith,,,,,
What are AI Overviews?,what-is-ai-overviews,Glossary,AI Search,ai_engines_answer_products,TOFU,NEW,N,vignesh-sampath,,,,,
What is Google AI Mode?,what-is-ai-mode,Glossary,AI Search,ai_engines_answer_products,TOFU,NEW,N,ranjeeth,,,,,
What is an answer engine?,what-is-an-answer-engine,Glossary,AI Search,ai_engines_answer_products,TOFU,NEW,N,omar,,,,,
What is llms.txt?,what-is-llms-txt,Glossary,Technical,ai_crawlers_access,TOFU,NEW,N,rohith,,,,,
What is an AI crawler?,what-is-an-ai-crawler,Glossary,Technical,ai_crawlers_access,TOFU,NEW (covers GPTBot/PerplexityBot/ClaudeBot),N,vignesh-sampath,,,,,
What is entity SEO?,what-is-entity-seo,Glossary,Authority,knowledge_graph_entities,TOFU,NEW,N,ranjeeth,,,,,
What is semantic SEO?,what-is-semantic-seo,Glossary,Content,ai_seo_disciplines,TOFU,NEW,N,omar,,,,,
What is a knowledge graph?,what-is-a-knowledge-graph,Glossary,Authority,knowledge_graph_entities,TOFU,NEW,N,rohith,,,,,
What is a knowledge panel?,what-is-a-knowledge-panel,Glossary,Authority,knowledge_graph_entities,TOFU,NEW,N,vignesh-sampath,,,,,
What is grounding (in AI)?,what-is-grounding,Glossary,AI Search,how_ai_search_works,TOFU,NEW,N,ranjeeth,,,,,
What are embeddings?,what-is-embeddings,Glossary,AI Search,how_ai_search_works,TOFU,NEW (keep practitioner-level),N,omar,,,,,
What is vector search?,what-is-vector-search,Glossary,AI Search,how_ai_search_works,TOFU,NEW (keep practitioner-level),N,rohith,,,,,
What is query fan-out?,what-is-query-fan-out,Glossary,AI Search,how_ai_search_works,TOFU,NEW,N,vignesh-sampath,,,,,
What is named entity recognition (NER)?,what-is-ner,Glossary,Authority,knowledge_graph_entities,TOFU,NEW,N,ranjeeth,,,,,
What is a context window?,what-is-context-window,Glossary,AI Search,llm_concepts_in_ai_seo,TOFU,NEW,N,omar,,,,,
What is fine-tuning?,what-is-fine-tuning,Glossary,AI Search,llm_concepts_in_ai_seo,TOFU,NEW,N,rohith,,,,,
What is zero-click search?,what-is-zero-click-search,Glossary,Strategy,ai_seo_research_concepts,TOFU,NEW,N,vignesh-sampath,,,,,
GEO vs SEO: what's actually different in 2026,geo-vs-seo,Blog,Strategy,discipline_comparisons,TOFU,NEW,Y,ranjeeth,Our take on where they diverge,"1) Where have you seen GEO and SEO pull in genuinely different directions for a client?  2) What's the biggest misconception teams have about GEO replacing SEO?  3) If a client only had budget for one this quarter, how do you decide?",Experience,PR POV,
