Topic,Slug,Content type,Discipline,Category,Funnel stage,Notes,Needs experience?,Expert / Author,Section for insight,Optional questions for expert,Insight type,Source of insight,First-hand experience / Quote
What is a BOFU keyword?,what-is-a-bofu-keyword,Glossary,Strategy,funnel_buyer_context,TOFU,NEW,N,ranjeeth,,,,,
What is message match?,what-is-message-match,Glossary,Content,funnel_buyer_context,TOFU,NEW,N,omar,,,,,
What is a niche persona page?,what-is-a-niche-persona-page,Glossary,Content,geo_optimization_tactics,TOFU,NEW,N,rohith,,,,,
Why AI-sourced traffic converts differently,why-ai-traffic-converts-differently,Blog,Strategy,funnel_buyer_context,TOFU,NEW,Y,vignesh-sampath,What client analytics show,1) How does AI-referred traffic behave vs organic in client data?  2) What assumptions about AI traffic turn out wrong?  3) Which AI engines send the most sales-ready visitors?,Experience + Pull-quote,Pull from client work,
How to optimise BOFU pages for LLM-sourced buyers,bofu-pages-for-llm-buyers,Blog,Content,funnel_buyer_context,MOFU,NEW,Y,ranjeeth,BOFU-for-AI-buyers playbook,1) Tell me about a BOFU page we reworked for AI-sourced buyers.  2) What do AI-sent buyers expect that classic organic visitors don't?  3) How do you shorten the path from AI answer to demo?,Experience + Pull-quote,Pull from client work,
How to write alternatives/comparison pages for AI-sourced buyers,alternatives-pages-for-ai-buyers,Blog,Content,geo_optimization_tactics,MOFU,NEW,Y,omar,Alternatives-page angle,1) Have 'X alternatives' pages converted AI-sourced traffic for clients?  2) What makes these pages credible to a buyer arriving from an LLM?  3) How do you avoid the thin/templated trap?,Experience,Pull from client work,
How to build niche persona pages that AI recommends,niche-persona-pages,Blog,Content,geo_optimization_tactics,MOFU,NEW,Y,rohith,Persona-page build,1) Walk me through a niche persona page ('X for fintech') that won AI recommendations.  2) When do persona pages help vs dilute focus?  3) How granular should persona pages get?,Experience,Pull from client work,
What is ToFu / MoFu / BoFu?,what-is-tofu-mofu-bofu,Glossary,Strategy,funnel_buyer_context,TOFU,NEW,N,vignesh-sampath,,,,,
What is a comparison page?,what-is-a-comparison-page,Glossary,Content,geo_optimization_tactics,TOFU,NEW,N,ranjeeth,,,,,
What is product-led content?,what-is-product-led-content,Glossary,Content,funnel_buyer_context,TOFU,NEW,N,omar,,,,,
Why buyers trust AI recommendations (and what that means for you),why-buyers-trust-ai-recommendations,Blog,Strategy,funnel_buyer_context,TOFU,NEW,Y,rohith,Buyer-trust dynamics,1) What do you see about how much buyers trust AI vendor recommendations?  2) What does that change about how we position clients?  3) Where is that trust misplaced or risky?,Experience,PR POV,
How to optimise pricing pages for AI-sourced buyers,pricing-pages-for-ai-buyers,Blog,Content,funnel_buyer_context,MOFU,NEW,Y,vignesh-sampath,Pricing-page-for-AI angle,1) Have pricing-page changes helped convert AI-sent buyers?  2) What do AI-sent buyers want to see on pricing?  3) How do you handle 'no public pricing' SaaS for AI search?,Experience,Pull from client work,
How to build use-case pages that AI recommends,use-case-pages-for-ai,Blog,Content,geo_optimization_tactics,MOFU,NEW,Y,ranjeeth,Use-case page build,1) Tell me about a use-case page that won AI recommendations.  2) What makes a use-case page credible to an LLM?  3) How many use-case pages is too many?,Experience,Pull from client work,
How to win 'best [category] tool' AI recommendations,win-best-category-recommendations,Blog,Content,geo_optimization_tactics,MOFU,NEW,Y,omar,Earning the recommendation slot,1) How do you get a client named when someone asks AI for the 'best [category]'?  2) What drives inclusion in those AI shortlists?  3) How much is on-site vs off-site/review presence?,Experience + Pull-quote,Pull from client work,
How to do AI SEO for edtech SaaS,ai-seo-for-edtech,Blog,Segment,funnel_buyer_context,MOFU,NEW — edtech-marketing-agency exists,Y,rohith,Edtech AI-search nuances,1) What's specific about AI-search buyer research in edtech?  2) What do edtech brands get wrong about AI SEO?  3) Which content earns citations with educators/buyers?,Experience,Pull from client work,
How to do AI SEO for legaltech SaaS,ai-seo-for-legaltech,Blog,Segment,funnel_buyer_context,MOFU,NEW — legaltech-marketing-agency exists,Y,vignesh-sampath,Legaltech AI-search (YMYL/accuracy),1) How do you build the authority legaltech needs for AI citations?  2) What's riskiest about AI SEO in a YMYL legal context?  3) How do you handle accuracy/citation standards?,Experience,Pull from client work,
How to do AI SEO for proptech SaaS,ai-seo-for-proptech,Blog,Segment,funnel_buyer_context,MOFU,NEW — proptech-marketing-agency exists,Y,ranjeeth,Proptech AI-search nuances,1) What's specific about AI-search visibility in proptech?  2) Where do proptech brands under-invest in AI SEO?  3) Which content types win here?,Experience,Pull from client work,
How to do AI SEO for insurtech SaaS,ai-seo-for-insurtech,Blog,Segment,funnel_buyer_context,MOFU,NEW — insurancetech-marketing-agency exists,Y,omar,Insurtech AI-search (YMYL/trust),1) How do you earn AI citations in a trust-heavy insurance category?  2) What do insurtech brands get wrong about AI SEO?  3) How does compliance shape the content?,Experience,Pull from client work,
