url,intent,funnel,primary,secondary
/blogs/b2b-content-marketing-guide/,informational,tofu,b2b content marketing,
/blogs/b2b-demand-generation-guide/,informational,tofu,b2b demand generation,
/blogs/b2b-inbound-marketing-guide/,informational,tofu,b2b inbound marketing,
/blogs/b2b-lead-generation/,informational,tofu,b2b lead generation,
/blogs/b2b-linkedin-marketing-guide/,informational,tofu,b2b linkedin marketing,
/blogs/b2b-marketing-operations-guide/,informational,tofu,b2b marketing operations,
/blogs/b2b-marketing/,informational,tofu,b2b marketing,
/blogs/b2b-ppc-guide/,informational,tofu,b2b ppc,
/blogs/b2b-ppc/,informational,tofu,b2b ppc,
/blogs/b2b-saas-seo/,informational,tofu,b2b saas seo,
/blogs/enterprise-saas-seo-guide/,informational,tofu,enterprise saas seo,
/blogs/enterprise-seo-challenges-and-fixes/,informational,mofu,enterprise seo challenges and fixes,
/blogs/enterprise-seo-guide/,informational,tofu,enterprise seo,
/blogs/enterprise-seo-strategy-and-framework/,informational,mofu,enterprise seo strategy and framework,
/blogs/fintech-seo-guide/,informational,tofu,fintech seo,
/blogs/how-do-i-run-linkedin-ads-for-saas-an-experts-take/,informational,mofu,linkedin ads for saas,
/blogs/how-to-build-topic-clusters/,informational,mofu,topic clusters,
/blogs/how-to-choose-search-volume-vs-search-intent/,informational,mofu,search volume vs search intent,
/blogs/how-to-do-keyword-gap-analysis/,informational,mofu,keyword gap analysis,
/blogs/how-to-do-saas-content-audit/,informational,mofu,saas content audit,
/blogs/how-to-do-saas-seo-competitor-analysis/,informational,mofu,saas seo competitor analysis,
/blogs/how-to-do-saas-seo-keyword-research/,informational,mofu,saas seo keyword research,
/blogs/how-to-fix-keyword-cannibalization/,informational,mofu,fix keyword cannibalization,
/blogs/how-to-map-keywords-to-saas-buyer-journey/,informational,mofu,map keywords to saas buyer journey,
/blogs/how-to-prioritize-saas-keywords-by-funnel-stage/,informational,mofu,prioritize saas keywords by funnel stage,
/blogs/how-to-rank-bofu-keywords-saas/,informational,mofu,rank saas bofu keywords,
/blogs/how-to-rank-mofu-keywords-saas/,informational,mofu,rank saas mofu keywords,
