source_type,source_slug,source_cluster,source_path,method,destination_type,target_cluster,anchor,target,priority,word_pos
blogs,b2b-lead-generation,b2b-lead-gen,content/blogs/b2b-lead-generation.md,existing_phrase,glossary,b2b-lead-gen,lead generation,/glossary/what-is-lead-generation/,P0,1831
blogs,b2b-marketing-operations-guide,b2b-marketing,content/blogs/b2b-marketing-operations-guide.md,existing_phrase,blog,,SaaS SEO,/blogs/saas-seo-v2/,P1,3171
blogs,b2b-ppc-guide,b2b-ppc,content/blogs/b2b-ppc-guide.md,existing_phrase,glossary,saas-ppc,Google Ads,/glossary/what-is-google-ads/,P2,2846
blogs,b2b-ppc-guide,b2b-ppc,content/blogs/b2b-ppc-guide.md,existing_phrase,glossary,ppc-basics,PPC,/glossary/what-is-ppc/,P2,1638
blogs,b2b-ppc-guide,b2b-ppc,content/blogs/b2b-ppc-guide.md,existing_phrase,blog,b2b-ppc,b2b ppc,/blogs/b2b-ppc/,P0,1137
blogs,b2b-ppc,b2b-ppc,content/blogs/b2b-ppc.md,existing_phrase,glossary,ppc-basics,PPC,/glossary/what-is-ppc/,P2,1043
blogs,b2b-saas-seo,saas-seo,content/blogs/b2b-saas-seo.md,existing_phrase,blog,,SaaS SEO,/blogs/saas-seo-v2/,P1,515
blogs,b2b-saas-seo,saas-seo,content/blogs/b2b-saas-seo.md,existing_phrase,glossary,seo-basics,SEO,/glossary/what-is-seo/,P2,483
blogs,enterprise-saas-seo-guide,enterprise-seo,content/blogs/enterprise-saas-seo-guide.md,existing_phrase,blog,,SaaS SEO,/blogs/saas-seo-v2/,P1,648
blogs,enterprise-seo-guide,enterprise-seo,content/blogs/enterprise-seo-guide.md,existing_phrase,glossary,seo-basics,technical SEO,/glossary/what-is-technical-seo/,P2,951
blogs,enterprise-seo-guide,enterprise-seo,content/blogs/enterprise-seo-guide.md,existing_phrase,glossary,seo-basics,SEO,/glossary/what-is-seo/,P2,536
blogs,fintech-seo-guide,fintech-marketing,content/blogs/fintech-seo-guide.md,existing_phrase,glossary,seo-basics,Technical SEO,/glossary/what-is-technical-seo/,P2,2177
blogs,fintech-seo-guide,fintech-marketing,content/blogs/fintech-seo-guide.md,existing_phrase,glossary,seo-basics,SEO,/glossary/what-is-seo/,P2,622
blogs,how-to-build-topic-clusters,,content/blogs/how-to-build-topic-clusters.md,existing_phrase,glossary,seo-basics,domain authority,/glossary/what-is-domain-authority/,P2,2047
blogs,how-to-build-topic-clusters,,content/blogs/how-to-build-topic-clusters.md,existing_phrase,glossary,seo-basics,backlinks,/glossary/what-is-a-backlink/,P2,1868
blogs,how-to-build-topic-clusters,,content/blogs/how-to-build-topic-clusters.md,existing_phrase,glossary,seo-basics,anchor text,/glossary/what-is-anchor-text/,P2,1778
