File,Bridge Type,Target URL,Expected Name,Currently Under Heading,Verdict,Expected Location
alternative/6sense-alternatives.md,neutral,/compare/6sense-vs-bombora/,Bombora,(before any heading),MISPLACED,4. Bombora
alternative/6sense-alternatives.md,neutral,/compare/rollworks-vs-6sense/,RollWorks,(before any heading),MISPLACED,paragraph @ 24447-24644
alternative/6sense-alternatives.md,alt-vs,/alternative/rollworks-alternatives/,RollWorks,(before any heading),MISPLACED,paragraph @ 24447-24644
alternative/6sense-alternatives.md,alt-vs,/alternative/demandbase-alternatives/,Demandbase,1. Demandbase,OK,1. Demandbase
alternative/6sense-alternatives.md,neutral,/compare/6sense-vs-demandbase/,Demandbase,1. Demandbase,OK,1. Demandbase
alternative/6sense-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,2. ZoomInfo,OK,2. ZoomInfo
alternative/6sense-alternatives.md,alt-vs,/alternative/apollo-alternatives/,Apollo,3. Apollo.io,OK,3. Apollo.io
alternative/6sense-alternatives.md,alt-vs,/alternative/bombora-alternatives/,Bombora,4. Bombora,OK,4. Bombora
alternative/6sense-alternatives.md,alt-vs,/alternative/cognism-alternatives/,Cognism,7. Cognism,OK,7. Cognism
alternative/ab-tasty-alternatives.md,alt-vs,/alternative/vwo-alternatives/,VWO,1. VWO,OK,1. VWO
alternative/ab-tasty-alternatives.md,alt-vs,/alternative/convert-alternatives/,Convert,3. Convert.com,OK,3. Convert.com
alternative/ab-tasty-alternatives.md,alt-vs,/alternative/optimizely-alternatives/,Optimizely,4. Optimizely,OK,4. Optimizely
alternative/ab-tasty-alternatives.md,alt-vs,/alternative/unbounce-alternatives/,Unbounce,7. Unbounce,OK,7. Unbounce
alternative/ahrefs-alternatives.md,neutral,/compare/se-ranking-vs-ahrefs/,SE Ranking,(before any heading),MISPLACED,2. SE Ranking
alternative/ahrefs-alternatives.md,neutral,/compare/ahrefs-vs-semrush/,Semrush,(before any heading),MISPLACED,1. Semrush
alternative/ahrefs-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,1. Semrush,OK,1. Semrush
alternative/ahrefs-alternatives.md,alt-vs,/alternative/moz-alternatives/,Moz,3. Moz Pro,OK,3. Moz Pro
alternative/ahrefs-alternatives.md,alt-vs,/alternative/mangools-alternatives/,Mangools,5. Mangools,OK,5. Mangools
alternative/ahrefs-alternatives.md,alt-vs,/alternative/serpstat-alternatives/,Serpstat,6. Serpstat,OK,6. Serpstat
alternative/ahrefs-alternatives.md,alt-vs,/alternative/ubersuggest-alternatives/,Ubersuggest,7. Screaming Frog SEO Spider,MISPLACED,paragraph @ 25629-25981
alternative/animalz-alternatives.md,alt-vs,/alternative/jasper-alternatives/,Jasper,1. Omniscient Digital,MISPLACED,paragraph @ 7707-8035
alternative/animalz-alternatives.md,alt-vs,/alternative/hotjar-alternatives/,Hotjar,1. Omniscient Digital,FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/animalz-alternatives.md,neutral,/compare/siege-media-vs-animalz/,Siege Media,3. Siege Media,OK,3. Siege Media
alternative/apollo-alternatives.md,neutral,/compare/clearbit-vs-apollo/,Apollo,(before any heading),MISPLACED,paragraph @ 2-182
alternative/apollo-alternatives.md,neutral,/compare/uplead-vs-apollo/,UpLead,(before any heading),MISPLACED,6. UpLead
alternative/apollo-alternatives.md,neutral,/compare/clay-vs-apollo/,Clay,(before any heading),MISPLACED,3. Clay
alternative/apollo-alternatives.md,neutral,/compare/apollo-vs-zoominfo/,ZoomInfo,(before any heading),MISPLACED,1. ZoomInfo
alternative/apollo-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,1. ZoomInfo,OK,1. ZoomInfo
alternative/apollo-alternatives.md,alt-vs,/alternative/cognism-alternatives/,Cognism,2. Cognism,OK,2. Cognism
alternative/apollo-alternatives.md,alt-vs,/alternative/lusha-alternatives/,Lusha,4. Lusha,OK,4. Lusha
alternative/bombora-alternatives.md,neutral,/compare/6sense-vs-bombora/,6sense,(before any heading),MISPLACED,1. 6sense
alternative/bombora-alternatives.md,alt-vs,/alternative/6sense-alternatives/,6sense,1. 6sense,OK,1. 6sense
alternative/bombora-alternatives.md,alt-vs,/alternative/demandbase-alternatives/,Demandbase,2. Demandbase,OK,2. Demandbase
alternative/bombora-alternatives.md,alt-vs,/alternative/zoominfo-alternatives/,ZoomInfo,3. ZoomInfo,OK,3. ZoomInfo
alternative/bombora-alternatives.md,alt-vs,/alternative/cognism-alternatives/,Cognism,6. Cognism,OK,6. Cognism
alternative/botify-alternatives.md,neutral,/compare/conductor-vs-brightedge/,Conductor,(before any heading),MISPLACED,6. Conductor
alternative/botify-alternatives.md,alt-vs,/alternative/brightedge-alternatives/,BrightEdge,(before any heading),FALSE-POSITIVE,fixed matcher finds NO valid location at all now
alternative/botify-alternatives.md,alt-vs,/alternative/screaming-frog-alternatives/,Screaming Frog,4. Screaming Frog SEO Spider,OK,4. Screaming Frog SEO Spider
alternative/botify-alternatives.md,alt-vs,/alternative/sitebulb-alternatives/,Sitebulb,5. Sitebulb,OK,5. Sitebulb
alternative/botify-alternatives.md,alt-vs,/alternative/conductor-alternatives/,Conductor,6. Conductor,OK,6. Conductor
alternative/botify-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,7. Semrush Site Audit,OK,7. Semrush Site Audit
alternative/brightedge-alternatives.md,alt-vs,/alternative/semrush-alternatives/,Semrush,1. Semrush,OK,1. Semrush
