Topic,Slug,Content type,Discipline,Category,Funnel stage,Notes,Needs experience?,Expert / Author,Section for insight,Optional questions for expert,Insight type,Source of insight,First-hand experience / Quote
What is a featured snippet?,what-is-a-featured-snippet,Glossary,Content,classic_seo_bridge,TOFU,NEW,N,ranjeeth,,,,,
What is position zero?,what-is-position-zero,Glossary,Content,classic_seo_bridge,TOFU,NEW,N,omar,,,,,
What is E-E-A-T?,what-is-e-e-a-t,Glossary,Authority,compliance_trust,TOFU,NEW,N,rohith,,,,,
What is an AI citation?,what-is-an-ai-citation,Glossary,AI Search,ai_visibility_metrics,TOFU,NEW,N,vignesh-sampath,,,,,
What is snippet extractability (pullability)?,what-is-snippet-extractability,Glossary,Content,how_ai_search_works,TOFU,NEW,N,ranjeeth,,,,,
What is the inverted pyramid (in content)?,what-is-inverted-pyramid,Glossary,Content,geo_optimization_tactics,TOFU,NEW,N,omar,,,,,
Featured snippets vs AI Overviews: what changed,featured-snippets-vs-ai-overviews,Blog,Content,discipline_comparisons,TOFU,NEW,Y,rohith,What we see in the SERP now,1) How has the shift from snippets to AI Overviews changed what we optimise for?  2) Is 'position zero' still a useful goal?  3) What still transfers from snippet optimisation to AEO?,Experience,PR POV,
Why AI cites some pages and ignores others,why-ai-cites-some-pages,Blog,Content,geo_optimization_tactics,TOFU,NEW,Y,vignesh-sampath,Citation patterns we've found,"1) From our citation analyses, what separates cited from ignored pages?  2) What's the single biggest lever?  3) What surprised you when you dug into the data?",Experience + Pull-quote,audits,
How to write answer-first content for AI,answer-first-content,Blog,Content,geo_optimization_tactics,MOFU,NEW,Y,ranjeeth,BLUF / answer-first structure,"1) Show me a before/after where answer-first restructuring won citations.  2) What do writers resist about answer-first, and why are they wrong?  3) How do you keep answer-first content from feeling thin?",Experience + Pull-quote,Pull from client work,
How to structure passages for AI extraction (chunking),structure-passages-for-ai,Blog,Content,geo_optimization_tactics,MOFU,NEW,Y,omar,Self-contained passage technique,1) How do you write self-contained passages without repeating yourself everywhere?  2) What chunking mistakes hurt extractability?  3) How granular should passages actually be?,Experience,Pull from client work,
How to add citation-worthy statistics to your content,citation-worthy-statistics,Blog,Content,geo_optimization_tactics,MOFU,NEW,Y,rohith,Sourcing & pairing stats,1) Tell me about content where adding stats/original data drove citations.  2) Where do teams get stat-sourcing wrong (and risk hallucinated cites)?  3) Original research vs curated stats — when is each worth it?,Experience + Pull-quote,Pull from client work,
How to use schema markup to win AI citations,schema-for-ai-citations,Blog,Technical,structured_data_schema,MOFU,NEW,Y,vignesh-sampath,Which schema types matter for AI,1) Which schema types have you seen actually correlate with AI citation?  2) Is the attribute-rich vs bare-schema difference real in practice?  3) What's the schema starter set you deploy on every client?,Experience,audits,
How to write comparison pages that AI surfaces,comparison-pages-for-ai,Blog,Content,geo_optimization_tactics,MOFU,EXPAND — how-to-write-saas-comparison-pages-for-seo exists; add the AI-surface angle or cross-link.,Y,ranjeeth,AI-surface angle on comparison pages,1) Have comparison/'best X' pages won AI citations for clients? Examples?  2) What makes a comparison page trustworthy to an LLM?  3) How do you handle being fair about competitors while still winning?,Experience + Pull-quote,Pull from client work,
How to format FAQs so AI answers pull from them,faqs-for-ai-answers,Blog,Content,structured_data_schema,MOFU,NEW,Y,omar,FAQ structure + FAQPage schema,1) Have FAQ blocks earned answer-engine pickups for clients?  2) What FAQ formatting fails to get extracted?  3) Real questions vs keyword-stuffed FAQs — does it matter?,Experience,Pull from client work,
How to optimise author bios for E-E-A-T and AI trust,author-bios-for-eeat,Blog,Authority,compliance_trust,MOFU,NEW,Y,rohith,Author entity & markup,1) Have author-entity improvements moved AI trust/citations for a client?  2) What do most author bios miss for E-E-A-T?  3) How do you build author authority from scratch?,Experience,Pull from client work,
Best AI content optimisation tools,best-ai-content-optimization-tools,Listicle,Content,ai_content_optimization_tools,MOFU,NEW — SERP is listicle-shaped,N,vignesh-sampath,,,,,
Best schema markup generators for SEO,best-schema-markup-generators,Listicle,Technical,structured_data_schema,MOFU,NEW — SERP is listicle-shaped,N,ranjeeth,,,,,
What is BLUF (Bottom Line Up Front)?,what-is-bluf,Glossary,Content,geo_optimization_tactics,TOFU,NEW,N,omar,,,,,
What is original research content?,what-is-original-research-content,Glossary,Content,geo_optimization_tactics,TOFU,NEW,N,rohith,,,,,
What is content freshness?,what-is-content-freshness,Glossary,Content,geo_optimization_tactics,TOFU,NEW,N,vignesh-sampath,,,,,
What is author schema (authorship markup)?,what-is-author-schema,Glossary,Technical,structured_data_schema,TOFU,NEW,N,ranjeeth,,,,,
What is co-citation?,what-is-co-citation,Glossary,Authority,offsite_brand_presence,TOFU,NEW,N,omar,,,,,
Statistics vs quotes vs original research: what AI cites most,stats-vs-quotes-vs-research,Blog,Content,geo_optimization_tactics,TOFU,NEW,Y,rohith,What earns citations fastest,"1) Across clients, which content asset earns AI citations fastest?  2) Where do teams waste effort on the wrong citation-bait?  3) How do you decide when original research is worth the cost?",Experience + Pull-quote,Pull from client work,
