url,type,keyword_target,primary,funnel,intent,cluster,body_word_count,internal_link_count,external_link_count,inbound_count,outbound_count,anchor_flag_count,title,title_len,desc_len,h1_count,h2_count,schema_types,schema_issue_count,primary_freq_exact,primary_freq_family,cannibalization_count,indexable,redirected,canonical_self,noindex,in_sitemap
/blogs/b2b-content-marketing-guide/,blog,True,b2b content marketing,tofu,informational,B2B Content Marketing,2666,19,2,5,18,3,B2B Content Marketing: Everything You Need to Know,50,117,1,12,Article|BreadcrumbList|FAQPage|Organization,0,18,18,0,True,False,True,False,True
/blogs/b2b-demand-generation-guide/,blog,True,b2b demand generation,tofu,informational,B2B Demand Generation,2415,16,0,7,16,7,B2B Demand Generation: Everything You Need to Know,50,136,1,10,Article|BreadcrumbList|Organization,0,23,23,0,True,False,True,False,True
/blogs/b2b-inbound-marketing-guide/,blog,True,b2b inbound marketing,tofu,informational,B2B Inbound Marketing,2415,11,2,2,11,3,B2B Inbound Marketing: A Complete Guide,39,160,1,9,Article|BreadcrumbList|FAQPage|Organization,0,17,17,0,True,False,True,False,True
/blogs/b2b-lead-generation/,blog,True,b2b lead generation,tofu,informational,B2B Lead Generation,2602,12,1,7,11,2,B2B Lead Generation: Everything You Need to Know,48,150,1,10,Article|BreadcrumbList|FAQPage|Organization,0,12,12,1,True,False,True,False,True
/blogs/b2b-linkedin-marketing-guide/,blog,True,b2b linkedin marketing,tofu,informational,B2B LinkedIn Marketing,2542,12,2,1,12,5,"B2B LinkedIn Marketing Guide | Strategy, Ads & Leads",52,132,1,11,Article|BreadcrumbList|Organization,0,19,19,0,True,False,True,False,True
/blogs/b2b-marketing-operations-guide/,blog,True,b2b marketing operations,tofu,informational,B2B Marketing,3712,12,0,4,12,3,B2B Marketing Operations: The Guide for B2B Companies,53,136,1,13,Article|BreadcrumbList|FAQPage|Organization,0,8,8,0,True,False,True,False,True
/blogs/b2b-marketing/,blog,True,b2b marketing,tofu,informational,B2B Marketing,2634,15,3,11,12,2,B2B Marketing Guide: How Modern Buyers Research & Convert,57,144,1,11,Article|BreadcrumbList|Organization,0,20,20,2,True,False,True,False,True
/blogs/b2b-ppc-guide/,blog,True,b2b ppc,tofu,informational,B2B PPC,3171,17,3,5,13,2,What is B2B PPC and How to Run Campaigns That Convert,53,143,1,13,Article|BreadcrumbList|FAQPage|Organization,0,28,28,3,True,False,True,False,True
/blogs/b2b-ppc/,blog,True,b2b ppc,tofu,informational,B2B PPC,2625,12,1,5,11,3,B2B PPC: A Complete 2026 Strategy Guide for SaaS Teams,54,150,1,11,Article|BreadcrumbList|FAQPage|Organization,0,21,22,2,True,False,True,False,True
/blogs/b2b-saas-seo/,blog,True,b2b saas seo,tofu,informational,B2B SEO,2563,20,6,3,17,1,B2B SaaS SEO: The Ultimate Guide for 2025,41,154,1,8,Article|BreadcrumbList|Organization,0,22,22,3,True,False,True,False,True
/blogs/enterprise-saas-seo-guide/,blog,True,enterprise saas seo,tofu,informational,Enterprise Marketing,2732,20,0,3,20,3,Enterprise SaaS SEO: The 2026 Complete Guide to Scaling,55,139,1,14,Article|BreadcrumbList|FAQPage|Organization|Quotation,0,12,12,5,True,False,True,False,True
/blogs/enterprise-seo-challenges-and-fixes/,blog,True,enterprise seo challenges and fixes,mofu,informational,Enterprise Marketing,3129,21,0,2,21,3,7 Enterprise SEO Challenges And How to Solve Them,49,92,1,15,Article|BreadcrumbList|FAQPage|Organization,0,0,0,0,True,False,True,False,True
/blogs/enterprise-seo-guide/,blog,True,enterprise seo,tofu,informational,Enterprise Marketing,2333,17,0,6,15,3,"Enterprise SEO: Definition, Strategies, and Core Pillars",56,147,1,9,Article|BreadcrumbList|FAQPage|Organization,0,31,31,4,True,False,True,False,True
/blogs/enterprise-seo-strategy-and-framework/,blog,True,enterprise seo strategy and framework,mofu,informational,Enterprise Marketing,3023,20,0,2,20,2,Enterprise SEO Strategies: The 7-Step Framework for Growth,58,135,1,15,Article|BreadcrumbList|FAQPage|Organization,0,0,1,0,True,False,True,False,True
/blogs/fintech-seo-guide/,blog,True,fintech seo,tofu,informational,Fintech SEO,2637,20,2,0,18,3,The Essential Fintech SEO Guide You Need,40,133,1,11,Article|BreadcrumbList|FAQPage|Organization,0,17,17,1,True,False,True,False,True
/blogs/how-do-i-run-linkedin-ads-for-saas-an-experts-take/,blog,True,linkedin ads for saas,mofu,informational,SaaS PPC,2970,16,0,4,13,4,How to Run LinkedIn Ads for SaaS in 2026? | Experience-based,60,143,1,12,Article|BreadcrumbList|FAQPage|Organization,0,7,7,0,True,False,True,False,True
/blogs/how-to-build-topic-clusters/,blog,True,topic clusters,mofu,informational,SaaS SEO,2409,7,0,7,5,4,How to Build Topic Clusters for a SaaS Site,43,151,1,11,Article|BreadcrumbList|CreativeWork|FAQPage|Organization,0,4,8,1,True,False,True,False,True
/blogs/how-to-choose-search-volume-vs-search-intent/,blog,True,search volume vs search intent,mofu,informational,SaaS SEO,2524,11,0,6,8,5,Search Volume vs Search Intent for SaaS,39,153,1,12,Article|BreadcrumbList|CreativeWork|FAQPage|Organization,0,0,0,0,True,False,True,False,True
/blogs/how-to-do-keyword-gap-analysis/,blog,True,keyword gap analysis,mofu,informational,SaaS SEO,1864,8,0,2,6,2,How to Do a Keyword Gap Analysis (SaaS Method),46,152,1,11,Article|BreadcrumbList|FAQPage|Organization,0,5,5,0,True,False,True,False,True
/blogs/how-to-do-saas-content-audit/,blog,True,saas content audit,mofu,informational,SaaS SEO,2648,11,0,0,11,3,How We Effectively Run A SaaS Content Audit in 2026,51,152,1,9,Article|BreadcrumbList|Organization,0,7,9,0,True,False,True,False,True
