Topic,Slug,Content type,Discipline,Category,Funnel stage,Notes,Needs experience?,Expert / Author,Section for insight,Optional questions for expert,Insight type,Source of insight,First-hand experience / Quote
What is the dark funnel?,what-is-the-dark-funnel,Glossary,Strategy,ai_visibility_metrics,TOFU,NEW,N,ranjeeth,,,,,
What is self-reported attribution?,what-is-self-reported-attribution,Glossary,Strategy,ai_visibility_metrics,TOFU,NEW,N,omar,,,,,
What is AI referral traffic?,what-is-ai-referral-traffic,Glossary,Strategy,ai_visibility_metrics,TOFU,NEW,N,rohith,,,,,
How to attribute pipeline to AI search,attribute-pipeline-to-ai-search,Blog,Strategy,ai_visibility_metrics,MOFU,NEW,Y,vignesh-sampath,Our attribution approach,"1) How do we actually connect AI search to pipeline for clients?  2) Where does AI-search attribution break, and how do you work around it?  3) Self-reported vs tracked — how do you blend them?",Experience + Pull-quote,Pull from client work,
The dark funnel problem in AI search (and how to handle it),dark-funnel-ai-search,Blog,Strategy,ai_visibility_metrics,TOFU,NEW,Y,ranjeeth,How we reason about hidden influence,1) How big is the dark-funnel effect in your client data for AI search?  2) What do teams get wrong trying to fully attribute AI influence?  3) How do you make the case for AI SEO when attribution is fuzzy?,Experience + Pull-quote,PR POV,
How to track AI-attributed leads in GA4,track-ai-leads-ga4,Blog,Technical,ai_visibility_metrics,MOFU,NEW,Y,omar,GA4 setup for AI referrers,1) What's our actual GA4 setup for isolating AI referral traffic?  2) What breaks in GA4 for AI-source tracking and how do you fix it?  3) Which segments/channel groups do you create?,Experience,team stack,
How to measure pipeline from AI referral traffic,measure-pipeline-from-ai-traffic,Blog,Strategy,ai_visibility_metrics,MOFU,NEW,Y,rohith,Connecting traffic to CRM,1) How do you connect AI referral sessions to closed revenue in client setups?  2) What's a realistic expectation for AI-sourced pipeline early on?  3) Which metric do you put in front of the CFO?,Experience,Pull from client work,
How to report AI SEO ROI to leadership,report-ai-seo-roi,Blog,Strategy,ai_visibility_metrics,MOFU,NEW,Y,vignesh-sampath,The exec reporting view,1) What does our AI-SEO exec report actually contain?  2) What do leaders care about vs what practitioners obsess over?  3) How do you set expectations on timeline and proof?,Experience + Pull-quote,Pull from client work,
What is pipeline-influenced revenue?,what-is-pipeline-influenced-revenue,Glossary,Strategy,ai_visibility_metrics,TOFU,NEW,N,ranjeeth,,,,,
What is multi-touch attribution?,what-is-multi-touch-attribution,Glossary,Strategy,ai_visibility_metrics,TOFU,NEW,N,omar,,,,,
What is brand search volume?,what-is-brand-search-volume,Glossary,Authority,ai_seo_research_concepts,TOFU,NEW,N,rohith,,,,,
Is AI search traffic worth the investment yet?,is-ai-search-worth-it,Blog,Strategy,ai_visibility_metrics,TOFU,NEW,Y,vignesh-sampath,Our honest cost/benefit read,1) For which clients has AI SEO clearly paid back — and which not yet?  2) What's the honest case against over-investing in AI SEO right now?  3) How do you size the opportunity for a specific client?,Experience + Pull-quote,Pull from client work,
How to forecast AI SEO impact for a client,forecast-ai-seo-impact,Blog,Strategy,ai_visibility_metrics,MOFU,NEW,Y,ranjeeth,Forecasting method,1) How do you build a credible AI-SEO forecast without overpromising?  2) What assumptions blow up forecasts here?  3) What range do you commit to vs caveat?,Experience,Pull from client work,
How to build an AI SEO reporting dashboard,ai-seo-dashboard,Blog,Strategy,ai_visibility_metrics,MOFU,NEW,Y,omar,Dashboard build,1) What's on our actual AI-SEO dashboard and which tools feed it?  2) What metric do clients fixate on that you have to reframe?  3) How do you blend tool data with GA4/CRM?,Experience,team stack,
How to benchmark your AI visibility against competitors,benchmark-ai-visibility,Blog,Strategy,ai_visibility_metrics,MOFU,NEW,Y,rohith,Competitive benchmarking,1) How do you set a competitive AI-visibility benchmark for a client?  2) What does a realistic 'catch up' timeline look like?  3) Which competitor signals matter most?,Experience,audits,
What is marketing attribution?,what-is-marketing-attribution,Glossary,Strategy,ai_visibility_metrics,TOFU,NEW,N,vignesh-sampath,,,,,
How to model AI SEO in your marketing budget,model-ai-seo-in-budget,Blog,Strategy,ai_visibility_metrics,MOFU,NEW,Y,ranjeeth,Budgeting for AI SEO,1) How do you carve out AI-SEO budget without raiding core SEO?  2) What budget split do you advise at different stages?  3) How do you justify the spend before results land?,Experience,Pull from client work,
